# version: Permenkes 2/2020
# lastUpdated: 2026-03-16
# source: Permenkes No. 2 Tahun 2020
sex,referenceType,referenceValue,L,M,S
L,height,45,-0.763,2.4,0.101305
L,height,45.5,-0.505,2.5,0.097654
L,height,46,-0.428,2.6,0.094058
L,height,46.5,-0.478,2.7,0.090573
L,height,47,0.314,2.8,0.090541
L,height,47.5,0.284,2.9,0.087425
L,height,48,-1.249,2.9,0.083687
L,height,48.5,-0.831,3,0.081321
L,height,49,-1.183,3.1,0.078449
L,height,49.5,-1.289,3.2,0.075965
L,height,50,-0.572,3.3,0.091419
L,height,50.5,-0.392,3.4,0.101451
L,height,51,-0.4,3.5,0.098571
L,height,51.5,-0.518,3.6,0.09577
L,height,52,-0.014,3.8,0.079115
L,height,52.5,-0.071,3.9,0.077092
L,height,53,-0.473,4,0.086305
L,height,53.5,-0.512,4.1,0.084195
L,height,54,0.064,4.3,0.093268
L,height,54.5,-0.232,4.4,0.091255
L,height,55,-0.873,4.5,0.085887
L,height,55.5,-0.308,4.7,0.085418
L,height,56,-0.456,4.8,0.092823
L,height,56.5,-0.164,5,0.080216
L,height,57,-0.404,5.1,0.087411
L,height,57.5,-0.24,5.3,0.075671
L,height,58,-0.69,5.4,0.082472
L,height,58.5,-0.01,5.6,0.089528
L,height,59,-0.45,5.7,0.078238
L,height,59.5,-0.068,5.9,0.084971
L,height,60,-0.266,6,0.083611
L,height,60.5,-0.414,6.1,0.089537
L,height,61,0.097,6.3,0.079509
L,height,61.5,-0.184,6.4,0.085417
L,height,62,-0.459,6.5,0.084029
L,height,62.5,0.064,6.7,0.082839
L,height,63,-0.073,6.8,0.088491
L,height,63.5,-0.267,6.9,0.079222
L,height,64,-0.494,7,0.078036
L,height,64.5,-0.63,7.1,0.083015
L,height,65,-0.602,7.4,0.079711
L,height,65.5,-0.181,7.6,0.079159
L,height,66,-0.288,7.7,0.078155
L,height,66.5,-0.167,7.8,0.082954
L,height,67,-0.251,7.9,0.081889
L,height,67.5,-0.421,8,0.080836
L,height,68,-0.441,8.1,0.079837
L,height,68.5,-0.554,8.2,0.084169
L,height,69,-0.092,8.4,0.083555
L,height,69.5,-0.234,8.5,0.082611
L,height,70,-0.314,8.6,0.08167
L,height,70.5,-0.367,8.7,0.085875
L,height,71,-0.234,8.8,0.084914
L,height,71.5,-0.422,8.9,0.08394
L,height,72,-0.438,9,0.083006
L,height,72.5,-0.453,9.1,0.082092
L,height,73,-0.659,9.2,0.081185
L,height,73.5,-0.496,9.3,0.08504
L,height,74,-0.37,9.4,0.084205
L,height,74.5,-0.498,9.5,0.083261
L,height,75,-0.513,9.6,0.082392
L,height,75.5,-0.582,9.7,0.081517
L,height,76,-0.562,9.8,0.0807
L,height,76.5,-0.58,9.9,0.079883
L,height,77,-0.386,10,0.084749
L,height,77.5,-0.398,10.1,0.083909
L,height,78,-0.382,10.2,0.083086
L,height,78.5,-0.396,10.3,0.082278
L,height,79,-0.344,10.4,0.081489
L,height,79.5,-0.357,10.5,0.080712
L,height,80,-0.177,10.6,0.085168
