# version: Permenkes 2/2020
# lastUpdated: 2026-03-16
# source: Permenkes No. 2 Tahun 2020
sex,referenceType,referenceValue,L,M,S
L,month,0,0.097,3.3,0.14841
L,month,1,0.368,4.5,0.133744
L,month,2,0.255,5.6,0.125427
L,month,3,0.308,6.4,0.116868
L,month,4,0.237,7,0.114623
L,month,5,0.166,7.5,0.113074
L,month,6,0.018,7.9,0.10733
L,month,7,0.193,8.3,0.108746
L,month,8,0.025,8.6,0.110271
L,month,9,0.11,8.9,0.106548
L,month,10,0.097,9.2,0.109066
L,month,11,-0.017,9.4,0.111574
L,month,12,0.013,9.6,0.113898
L,month,13,0.095,9.9,0.111508
L,month,14,0.083,10.1,0.113776
L,month,15,0.018,10.3,0.111569
L,month,16,0.063,10.5,0.109432
L,month,17,-0.041,10.7,0.111558
L,month,18,-0.09,10.9,0.109498
L,month,19,-0.12,11.1,0.111479
L,month,20,-0.096,11.3,0.114511
L,month,21,-0.064,11.5,0.112526
L,month,22,0.06,11.8,0.114406
L,month,23,0.1,12,0.112484
L,month,24,0.103,12.2,0.115186
L,month,25,0.032,12.4,0.116987
L,month,26,-0.138,12.5,0.115051
L,month,27,-0.088,12.7,0.117721
L,month,28,-0.041,12.9,0.115896
L,month,29,-0.041,13.1,0.117498
L,month,30,-0.066,13.3,0.119974
L,month,31,-0.051,13.5,0.118193
L,month,32,-0.012,13.7,0.120586
L,month,33,-0.116,13.8,0.118788
L,month,34,-0.058,14,0.121159
L,month,35,-0.026,14.2,0.119446
L,month,36,-0.11,14.3,0.121667
L,month,37,-0.085,14.5,0.119997
L,month,38,-0.034,14.7,0.12223
L,month,39,-0.11,14.8,0.124355
L,month,40,-0.112,15,0.122695
L,month,41,-0.034,15.2,0.124833
L,month,42,-0.121,15.3,0.123124
L,month,43,-0.085,15.5,0.125235
L,month,44,-0.039,15.7,0.127274
L,month,45,-0.154,15.8,0.125574
L,month,46,-0.106,16,0.127611
L,month,47,-0.074,16.2,0.126035
L,month,48,-0.151,16.3,0.127897
L,month,49,-0.104,16.5,0.129849
L,month,50,-0.088,16.7,0.12829
L,month,51,-0.164,16.8,0.130079
L,month,52,-0.149,17,0.128553
L,month,53,-0.106,17.2,0.130419
L,month,54,-0.169,17.3,0.132142
L,month,55,-0.146,17.5,0.130636
L,month,56,-0.115,17.7,0.132431
L,month,57,-0.163,17.8,0.134094
L,month,58,-0.152,18,0.132604
L,month,59,-0.147,18.2,0.134341
L,month,60,-0.2,18.3,0.135939
P,month,0,0.365,3.2,0.139714
P,month,1,0.237,4.2,0.143518
P,month,2,0.16,5.1,0.126934
P,month,3,-0.072,5.8,0.119121
P,month,4,-0.005,6.4,0.123699
P,month,5,-0.043,6.9,0.12292
P,month,6,-0.086,7.3,0.116167
P,month,7,-0.192,7.6,0.11729
P,month,8,-0.285,7.9,0.125516
P,month,9,-0.262,8.2,0.120938
P,month,10,-0.101,8.5,0.123455
P,month,11,-0.226,8.7,0.125573
P,month,12,-0.292,8.9,0.122732
P,month,13,-0.124,9.2,0.125013
P,month,14,-0.22,9.4,0.122372
P,month,15,-0.206,9.6,0.124294
P,month,16,-0.292,9.8,0.121739
P,month,17,-0.274,10,0.123559
P,month,18,-0.367,10.2,0.121083
P,month,19,-0.289,10.4,0.124408
P,month,20,-0.316,10.6,0.126038
P,month,21,-0.167,10.9,0.123991
P,month,22,-0.266,11.1,0.121788
P,month,23,-0.249,11.3,0.123412
P,month,24,-0.284,11.5,0.121259
P,month,25,-0.217,11.7,0.127816
P,month,26,-0.323,11.9,0.125672
P,month,27,-0.32,12.1,0.123584
P,month,28,-0.303,12.3,0.125014
P,month,29,-0.374,12.5,0.122991
P,month,30,-0.33,12.7,0.125695
P,month,31,-0.294,12.9,0.127016
P,month,32,-0.309,13.1,0.125071
P,month,33,-0.318,13.3,0.127613
P,month,34,-0.285,13.5,0.128842
P,month,35,-0.252,13.7,0.131249
P,month,36,-0.233,13.9,0.129342
P,month,37,-0.38,14,0.127201
P,month,38,-0.315,14.2,0.132539
P,month,39,-0.338,14.4,0.13069
P,month,40,-0.316,14.6,0.132962
P,month,41,-0.359,14.8,0.13116
P,month,42,-0.282,15,0.136155
P,month,43,-0.305,15.2,0.134357
P,month,44,-0.357,15.3,0.136195
P,month,45,-0.396,15.5,0.134426
P,month,46,-0.333,15.7,0.139169
P,month,47,-0.332,15.9,0.137413
P,month,48,-0.31,16.1,0.139418
P,month,49,-0.287,16.3,0.140249
P,month,50,-0.363,16.4,0.141891
P,month,51,-0.384,16.6,0.140173
P,month,52,-0.333,16.8,0.142095
P,month,53,-0.329,17,0.142841
P,month,54,-0.309,17.2,0.144677
P,month,55,-0.4,17.3,0.14269
P,month,56,-0.377,17.5,0.14453
P,month,57,-0.333,17.7,0.148631
P,month,58,-0.335,17.9,0.146963
P,month,59,-0.377,18,0.148394
P,month,60,-0.379,18.2,0.146761
