# version: Permenkes 2/2020
# lastUpdated: 2026-03-16
# source: Permenkes No. 2 Tahun 2020
sex,referenceType,referenceValue,L,M,S
L,month,0,-0.304,13.4,0.096528
L,month,1,0.17,14.9,0.09054
L,month,2,0.092,16.3,0.085594
L,month,3,-0.003,16.9,0.085756
L,month,4,0.018,17.2,0.084256
L,month,5,-0.114,17.3,0.083776
L,month,6,-0.247,17.3,0.080589
L,month,7,-0.388,17.3,0.080569
L,month,8,-0.128,17.3,0.081138
L,month,9,-0.25,17.2,0.081649
L,month,10,-0.455,17,0.081981
L,month,11,-0.382,16.9,0.082475
L,month,12,-0.406,16.8,0.080313
L,month,13,-0.398,16.7,0.080795
L,month,14,-0.289,16.6,0.081274
L,month,15,-0.603,16.4,0.07884
L,month,16,-0.603,16.3,0.079323
L,month,17,-0.56,16.2,0.079818
L,month,18,-0.588,16.1,0.08031
L,month,19,-0.509,16.1,0.077571
L,month,20,-0.499,16,0.078056
L,month,21,-0.621,15.9,0.078559
L,month,22,-0.696,15.8,0.078223
L,month,23,-0.532,15.8,0.07905
L,month,24,-0.667,16,0.078071
L,month,25,-0.459,16,0.078054
L,month,26,-0.707,15.9,0.07773
L,month,27,-0.45,15.9,0.078545
L,month,28,-0.407,15.9,0.078542
L,month,29,-0.661,15.8,0.075475
L,month,30,-0.362,15.8,0.079038
L,month,31,-0.282,15.8,0.079034
L,month,32,-0.437,15.7,0.075995
L,month,33,-0.353,15.7,0.079542
L,month,34,-0.199,15.7,0.079535
L,month,35,-0.427,15.6,0.076483
L,month,36,-0.345,15.6,0.080053
L,month,37,-0.191,15.6,0.080046
L,month,38,-0.417,15.5,0.076977
L,month,39,-0.337,15.5,0.08057
L,month,40,-0.259,15.5,0.080566
L,month,41,-0.151,15.5,0.080562
L,month,42,-0.362,15.4,0.080383
L,month,43,-0.328,15.4,0.081094
L,month,44,-0.286,15.4,0.081092
L,month,45,-0.286,15.4,0.081092
L,month,46,-0.18,15.4,0.081087
L,month,47,-0.545,15.3,0.080824
L,month,48,-0.446,15.3,0.084526
L,month,49,-0.41,15.3,0.084532
L,month,50,-0.41,15.3,0.084532
L,month,51,-0.469,15.3,0.081636
L,month,52,-0.367,15.3,0.081628
L,month,53,-0.449,15.3,0.081635
L,month,54,-0.354,15.3,0.085295
L,month,55,-0.605,15.2,0.085059
L,month,56,-0.642,15.2,0.085055
L,month,57,-0.642,15.2,0.085055
L,month,58,-0.746,15.2,0.085044
L,month,59,-0.746,15.2,0.085044
L,month,60,-0.819,15.2,0.085037
P,month,0,-0.188,13.3,0.089739
P,month,1,0.389,14.6,0.096036
P,month,2,0.271,15.8,0.095117
P,month,3,0.125,16.4,0.091674
P,month,4,0.001,16.7,0.092803
P,month,5,-0.228,16.8,0.088958
P,month,6,-0.198,16.9,0.088435
P,month,7,-0.235,16.9,0.08843
P,month,8,-0.311,16.8,0.088948
P,month,9,-0.336,16.7,0.089478
P,month,10,-0.322,16.6,0.090019
P,month,11,-0.354,16.5,0.087878
P,month,12,-0.257,16.4,0.088402
P,month,13,-0.46,16.2,0.086027
P,month,14,-0.504,16.1,0.086557
P,month,15,-0.431,16,0.087106
P,month,16,-0.456,15.9,0.087651
P,month,17,-0.494,15.8,0.088202
P,month,18,-0.485,15.7,0.088764
P,month,19,-0.482,15.7,0.085971
P,month,20,-0.473,15.6,0.086523
P,month,21,-0.616,15.5,0.086204
P,month,22,-0.445,15.5,0.087079
P,month,23,-0.679,15.4,0.086738
P,month,24,-0.462,15.7,0.085968
P,month,25,-0.462,15.7,0.085968
P,month,26,-0.711,15.6,0.082867
P,month,27,-0.6,15.6,0.08288
P,month,28,-0.485,15.6,0.086525
P,month,29,-0.39,15.6,0.086511
P,month,30,-0.673,15.5,0.083405
P,month,31,-0.589,15.5,0.083416
P,month,32,-0.589,15.5,0.083416
P,month,33,-0.381,15.5,0.08707
P,month,34,-0.695,15.4,0.083944
P,month,35,-0.579,15.4,0.083958
P,month,36,-0.579,15.4,0.083958
P,month,37,-0.468,15.4,0.087651
P,month,38,-0.436,15.4,0.087646
P,month,39,-0.596,15.3,0.087333
P,month,40,-0.596,15.3,0.087333
P,month,41,-0.662,15.3,0.087308
P,month,42,-0.517,15.3,0.091083
P,month,43,-0.45,15.3,0.091089
P,month,44,-0.476,15.3,0.091087
P,month,45,-0.535,15.3,0.091082
P,month,46,-0.535,15.3,0.091082
P,month,47,-0.43,15.3,0.091091
P,month,48,-0.491,15.3,0.091085
P,month,49,-0.399,15.3,0.094814
P,month,50,-0.478,15.3,0.094833
P,month,51,-0.478,15.3,0.094833
P,month,52,-0.616,15.2,0.094488
P,month,53,-0.439,15.3,0.094823
P,month,54,-0.466,15.3,0.09483
P,month,55,-0.522,15.3,0.094844
P,month,56,-0.522,15.3,0.094844
P,month,57,-0.513,15.3,0.097666
P,month,58,-0.536,15.3,0.097665
P,month,59,-0.474,15.3,0.097666
P,month,60,-0.526,15.3,0.097666
