# version: WHO 2006
# lastUpdated: 2026-03-16
# source: WHO 2006
sex,referenceType,referenceValue,L,M,S
L,month,3,0.3928,13.4817,0.07475
L,month,4,0.3475,13.8097,0.07523
L,month,5,0.3092,14.0585,0.07566
L,month,6,0.2755,14.2389,0.07601
L,month,7,0.2453,14.3678,0.07629
L,month,8,0.2179,14.4591,0.0765
L,month,9,0.1925,14.5245,0.07665
L,month,10,0.169,14.5733,0.07676
L,month,11,0.1469,14.6119,0.07683
L,month,12,0.1261,14.6449,0.07689
L,month,13,0.1064,14.6758,0.07694
L,month,14,0.0876,14.7063,0.07699
L,month,15,0.0697,14.738,0.07703
L,month,16,0.0526,14.7723,0.07707
L,month,17,0.0362,14.8095,0.0771
L,month,18,0.0204,14.8496,0.07713
L,month,19,0.0051,14.8926,0.07717
L,month,20,-0.0097,14.9388,0.07721
L,month,21,-0.0239,14.9883,0.07725
L,month,22,-0.0378,15.041,0.07731
L,month,23,-0.0512,15.0964,0.07738
L,month,24,-0.0643,15.1536,0.07746
L,month,25,-0.077,15.2115,0.07755
L,month,26,-0.0894,15.2693,0.07767
L,month,27,-0.1014,15.3259,0.0778
L,month,28,-0.1132,15.3808,0.07794
L,month,29,-0.1248,15.4336,0.0781
L,month,30,-0.136,15.4839,0.07827
L,month,31,-0.147,15.5317,0.07846
L,month,32,-0.1578,15.5771,0.07866
L,month,33,-0.1684,15.6201,0.07887
L,month,34,-0.1788,15.6611,0.07909
L,month,35,-0.189,15.7003,0.07933
L,month,36,-0.1989,15.738,0.07956
L,month,37,-0.2087,15.7745,0.07981
L,month,38,-0.2184,15.8101,0.08006
L,month,39,-0.2278,15.845,0.08032
L,month,40,-0.2372,15.8793,0.08058
L,month,41,-0.2463,15.9132,0.08085
L,month,42,-0.2553,15.9467,0.08112
L,month,43,-0.2642,15.9797,0.08139
L,month,44,-0.273,16.0124,0.08166
L,month,45,-0.2816,16.0447,0.08194
L,month,46,-0.2901,16.0767,0.08222
L,month,47,-0.2985,16.1085,0.0825
L,month,48,-0.3067,16.14,0.08278
L,month,49,-0.3149,16.1714,0.08307
L,month,50,-0.3229,16.2027,0.08335
L,month,51,-0.3309,16.234,0.08364
L,month,52,-0.3387,16.2654,0.08392
L,month,53,-0.3464,16.2968,0.08421
L,month,54,-0.3541,16.3283,0.0845
L,month,55,-0.3616,16.3599,0.08479
L,month,56,-0.3691,16.3916,0.08508
L,month,57,-0.3765,16.4233,0.08537
L,month,58,-0.3838,16.4551,0.08566
L,month,59,-0.391,16.4871,0.08595
L,month,60,-0.3981,16.5191,0.08624
P,month,3,-0.1733,13.0284,0.08263
P,month,4,-0.1733,13.3649,0.08298
P,month,5,-0.1733,13.6061,0.08325
P,month,6,-0.1733,13.7771,0.08343
P,month,7,-0.1733,13.9018,0.08352
P,month,8,-0.1733,13.9952,0.08351
P,month,9,-0.1733,14.0665,0.08342
P,month,10,-0.1733,14.1217,0.08326
P,month,11,-0.1733,14.1667,0.08305
P,month,12,-0.1733,14.2065,0.0828
P,month,13,-0.1733,14.2455,0.08254
P,month,14,-0.1733,14.2859,0.08227
P,month,15,-0.1733,14.3289,0.08202
P,month,16,-0.1733,14.3752,0.08179
P,month,17,-0.1733,14.4254,0.0816
P,month,18,-0.1733,14.4795,0.08143
P,month,19,-0.1733,14.5372,0.08131
P,month,20,-0.1733,14.5987,0.08123
P,month,21,-0.1733,14.6639,0.08118
P,month,22,-0.1733,14.7328,0.08118
P,month,23,-0.1733,14.8049,0.08121
P,month,24,-0.1733,14.8795,0.08127
P,month,25,-0.1733,14.9559,0.08136
P,month,26,-0.1733,15.0327,0.08147
P,month,27,-0.1733,15.1085,0.08161
P,month,28,-0.1733,15.1817,0.08178
P,month,29,-0.1733,15.2514,0.08196
P,month,30,-0.1733,15.3168,0.08217
P,month,31,-0.1733,15.3779,0.0824
P,month,32,-0.1733,15.4351,0.08265
P,month,33,-0.1733,15.4895,0.08292
P,month,34,-0.1733,15.5423,0.0832
P,month,35,-0.1733,15.5941,0.08351
P,month,36,-0.1733,15.6456,0.08383
P,month,37,-0.1733,15.6969,0.08416
P,month,38,-0.1733,15.7483,0.08451
P,month,39,-0.1733,15.7997,0.08487
P,month,40,-0.1733,15.8509,0.08525
P,month,41,-0.1733,15.9016,0.08563
P,month,42,-0.1733,15.9518,0.08602
P,month,43,-0.1733,16.0016,0.08642
P,month,44,-0.1733,16.0509,0.08683
P,month,45,-0.1733,16.1001,0.08723
P,month,46,-0.1733,16.1491,0.08765
P,month,47,-0.1733,16.1983,0.08806
P,month,48,-0.1733,16.2477,0.08848
P,month,49,-0.1733,16.2974,0.0889
P,month,50,-0.1733,16.3475,0.08932
P,month,51,-0.1733,16.3981,0.08974
P,month,52,-0.1733,16.449,0.09016
P,month,53,-0.1733,16.5001,0.09057
P,month,54,-0.1733,16.5514,0.09099
P,month,55,-0.1733,16.6026,0.0914
P,month,56,-0.1733,16.6534,0.09181
P,month,57,-0.1733,16.7039,0.09221
P,month,58,-0.1733,16.7539,0.09262
P,month,59,-0.1733,16.8034,0.09301
P,month,60,-0.1733,16.8526,0.09341
