# version: WHO 2006
# lastUpdated: 2026-03-16
# source: WHO 2006
sex,referenceType,referenceValue,L,M,S
L,month,0,1,34.4618,0.03686
L,month,1,1,37.2759,0.03133
L,month,2,1,39.1285,0.02997
L,month,3,1,40.5135,0.02918
L,month,4,1,41.6317,0.02868
L,month,5,1,42.5576,0.02837
L,month,6,1,43.3306,0.02817
L,month,7,1,43.9803,0.02804
L,month,8,1,44.53,0.02796
L,month,9,1,44.9998,0.02792
L,month,10,1,45.4051,0.0279
L,month,11,1,45.7573,0.02789
L,month,12,1,46.0661,0.02789
L,month,13,1,46.3395,0.02789
L,month,14,1,46.5844,0.02791
L,month,15,1,46.806,0.02792
L,month,16,1,47.0088,0.02795
L,month,17,1,47.1962,0.02797
L,month,18,1,47.3711,0.028
L,month,19,1,47.5357,0.02803
L,month,20,1,47.6919,0.02806
L,month,21,1,47.8408,0.0281
L,month,22,1,47.9833,0.02813
L,month,23,1,48.1201,0.02817
L,month,24,1,48.2515,0.02821
L,month,25,1,48.3777,0.02825
L,month,26,1,48.4989,0.0283
L,month,27,1,48.6151,0.02834
L,month,28,1,48.7264,0.02838
L,month,29,1,48.8331,0.02842
L,month,30,1,48.9351,0.02847
L,month,31,1,49.0327,0.02851
L,month,32,1,49.126,0.02855
L,month,33,1,49.2153,0.02859
L,month,34,1,49.3007,0.02863
L,month,35,1,49.3826,0.02867
L,month,36,1,49.4612,0.02871
L,month,37,1,49.5367,0.02875
L,month,38,1,49.6093,0.02878
L,month,39,1,49.6791,0.02882
L,month,40,1,49.7465,0.02886
L,month,41,1,49.8116,0.02889
L,month,42,1,49.8745,0.02893
L,month,43,1,49.9354,0.02896
L,month,44,1,49.9942,0.02899
L,month,45,1,50.0512,0.02903
L,month,46,1,50.1064,0.02906
L,month,47,1,50.1598,0.02909
L,month,48,1,50.2115,0.02912
L,month,49,1,50.2617,0.02915
L,month,50,1,50.3105,0.02918
L,month,51,1,50.3578,0.02921
L,month,52,1,50.4039,0.02924
L,month,53,1,50.4488,0.02927
L,month,54,1,50.4926,0.02929
L,month,55,1,50.5354,0.02932
L,month,56,1,50.5772,0.02935
L,month,57,1,50.6183,0.02938
L,month,58,1,50.6587,0.0294
L,month,59,1,50.6984,0.02943
L,month,60,1,50.7375,0.02946
P,month,0,1,33.8787,0.03496
P,month,1,1,36.5463,0.0321
P,month,2,1,38.2521,0.03168
P,month,3,1,39.5328,0.0314
P,month,4,1,40.5817,0.03119
P,month,5,1,41.459,0.03102
P,month,6,1,42.1995,0.03087
P,month,7,1,42.829,0.03075
P,month,8,1,43.3671,0.03063
P,month,9,1,43.83,0.03053
P,month,10,1,44.2319,0.03044
P,month,11,1,44.5844,0.03035
P,month,12,1,44.8965,0.03027
P,month,13,1,45.1752,0.03019
P,month,14,1,45.4265,0.03012
P,month,15,1,45.6551,0.03006
P,month,16,1,45.865,0.02999
P,month,17,1,46.0598,0.02993
P,month,18,1,46.2424,0.02987
P,month,19,1,46.4152,0.02982
P,month,20,1,46.5801,0.02977
P,month,21,1,46.7384,0.02972
P,month,22,1,46.8913,0.02967
P,month,23,1,47.0391,0.02962
P,month,24,1,47.1822,0.02957
P,month,25,1,47.3204,0.02953
P,month,26,1,47.4536,0.02949
P,month,27,1,47.5817,0.02945
P,month,28,1,47.7045,0.02941
P,month,29,1,47.8219,0.02937
P,month,30,1,47.934,0.02933
P,month,31,1,48.041,0.02929
P,month,32,1,48.1432,0.02926
P,month,33,1,48.2408,0.02922
P,month,34,1,48.3343,0.02919
P,month,35,1,48.4239,0.02915
P,month,36,1,48.5099,0.02912
P,month,37,1,48.5926,0.02909
P,month,38,1,48.6722,0.02906
P,month,39,1,48.7489,0.02903
P,month,40,1,48.8228,0.029
P,month,41,1,48.8941,0.02897
P,month,42,1,48.9629,0.02894
P,month,43,1,49.0294,0.02891
P,month,44,1,49.0937,0.02888
P,month,45,1,49.156,0.02886
P,month,46,1,49.2164,0.02883
P,month,47,1,49.2751,0.0288
P,month,48,1,49.3321,0.02878
P,month,49,1,49.3877,0.02875
P,month,50,1,49.4419,0.02873
P,month,51,1,49.4947,0.0287
P,month,52,1,49.5464,0.02868
P,month,53,1,49.5969,0.02865
P,month,54,1,49.6464,0.02863
P,month,55,1,49.6947,0.02861
P,month,56,1,49.7421,0.02859
P,month,57,1,49.7885,0.02856
P,month,58,1,49.8341,0.02854
P,month,59,1,49.8789,0.02852
P,month,60,1,49.9229,0.0285
