# version: Permenkes 2/2020
# lastUpdated: 2026-03-16
# source: Permenkes No. 2 Tahun 2020
sex,referenceType,referenceValue,L,M,S
L,month,0,1,49.9,0.038076
L,month,1,0.855,54.7,0.035646
L,month,2,1,58.4,0.034247
L,month,3,0.852,61.4,0.033385
L,month,4,1.148,63.9,0.032863
L,month,5,1,65.9,0.031866
L,month,6,0.956,67.6,0.031804
L,month,7,1.111,69.2,0.031066
L,month,8,1,70.6,0.031161
L,month,9,1.144,72,0.031246
L,month,10,1.098,73.3,0.031377
L,month,11,0.753,74.5,0.03154
L,month,12,0.867,75.7,0.031042
L,month,13,1.007,76.9,0.031209
L,month,14,0.875,78,0.031408
L,month,15,0.776,79.1,0.032235
L,month,16,0.869,80.2,0.03242
L,month,17,0.83,81.2,0.032633
L,month,18,1,82.3,0.032807
L,month,19,0.851,83.2,0.033051
L,month,20,1,84.2,0.033254
L,month,21,0.902,85.1,0.033489
L,month,22,0.854,86,0.034301
L,month,23,0.849,86.9,0.034524
L,month,24,0.905,87.1,0.035016
L,month,25,1.148,88,0.035226
L,month,26,0.924,88.8,0.036037
L,month,27,0.972,89.6,0.036272
L,month,28,1,90.4,0.036504
L,month,29,1.082,91.2,0.03673
L,month,30,1,91.9,0.036997
L,month,31,1.115,92.7,0.037214
L,month,32,1.088,93.4,0.037473
L,month,33,1.059,94.1,0.037724
L,month,34,1.062,94.8,0.0385
L,month,35,1.011,95.4,0.03826
L,month,36,1,96.1,0.038502
L,month,37,0.931,96.7,0.038779
L,month,38,1,97.4,0.039014
L,month,39,1.043,98,0.038775
L,month,40,0.896,98.6,0.039555
L,month,41,0.876,99.2,0.039818
L,month,42,1.094,99.9,0.039537
L,month,43,0.881,100.4,0.040338
L,month,44,0.909,101,0.040098
L,month,45,0.903,101.6,0.040355
L,month,46,1.031,102.2,0.040117
L,month,47,1.088,102.8,0.040367
L,month,48,1,103.3,0.040658
L,month,49,1.039,103.9,0.040423
L,month,50,0.952,104.4,0.040708
L,month,51,1,105,0.040952
L,month,52,1.074,105.6,0.041191
L,month,53,0.948,106.1,0.041471
L,month,54,1.091,106.7,0.041236
L,month,55,0.945,107.2,0.041511
L,month,56,1.051,107.8,0.041743
L,month,57,1.011,108.3,0.041551
L,month,58,1.043,108.9,0.04178
L,month,59,1,109.4,0.042048
L,month,60,1.008,110,0.042272
P,month,0,0.808,49.1,0.037673
P,month,1,1.143,53.7,0.036307
P,month,2,1.031,57.1,0.035901
P,month,3,1,59.8,0.035117
P,month,4,0.931,62.1,0.035427
P,month,5,0.859,64,0.034376
P,month,6,0.974,65.7,0.034246
P,month,7,1.145,67.3,0.034175
P,month,8,0.832,68.7,0.034204
P,month,9,0.781,70.1,0.034947
P,month,10,1.091,71.5,0.034263
P,month,11,1.188,72.8,0.03434
P,month,12,0.905,74,0.035136
P,month,13,1.011,75.2,0.034574
P,month,14,1.106,76.4,0.03534
P,month,15,1.062,77.5,0.034838
P,month,16,1,78.6,0.035623
P,month,17,1.099,79.7,0.035756
P,month,18,1,80.7,0.035936
P,month,19,1.013,81.7,0.036108
P,month,20,1,82.7,0.036276
P,month,21,1.07,83.7,0.036438
P,month,22,1.041,84.6,0.036643
P,month,23,0.925,85.5,0.037428
P,month,24,1.012,85.7,0.037339
P,month,25,0.989,86.6,0.038106
P,month,26,0.85,87.4,0.038328
P,month,27,1.075,88.3,0.038504
P,month,28,1.048,89.1,0.038159
P,month,29,0.966,89.9,0.038932
P,month,30,1.014,90.7,0.03914
P,month,31,0.938,91.4,0.03884
P,month,32,1.069,92.2,0.039045
P,month,33,0.988,92.9,0.039289
P,month,34,0.871,93.6,0.040063
P,month,35,1.099,94.4,0.039722
P,month,36,1.054,95.1,0.040482
P,month,37,0.935,95.7,0.040229
P,month,38,1,96.4,0.040456
P,month,39,0.991,97.1,0.04068
P,month,40,0.948,97.7,0.040429
P,month,41,1.032,98.4,0.04065
P,month,42,0.991,99,0.040909
P,month,43,1,99.7,0.041123
P,month,44,0.979,100.3,0.041376
P,month,45,0.934,100.9,0.041626
P,month,46,0.889,101.5,0.041871
P,month,47,0.992,102.1,0.041626
P,month,48,0.963,102.7,0.04187
P,month,49,0.945,103.3,0.04211
P,month,50,1,103.9,0.042348
P,month,51,1.089,104.5,0.042104
P,month,52,0.93,105,0.04238
P,month,53,1,105.6,0.042614
P,month,54,1.008,106.2,0.042843
P,month,55,0.993,106.7,0.042643
P,month,56,1.06,107.3,0.04287
P,month,57,0.95,107.8,0.043135
P,month,58,1.101,108.4,0.042893
P,month,59,1.027,108.9,0.043159
P,month,60,0.951,109.4,0.043418
